callsign,originCountry,lat,lon,alt,vel,dir,cat
UAL323  ,United States,40.0549,-83.4772,11582.4,192.22,264.63,0
SWR1KV  ,Switzerland,49.516,10.0706,10347.96,233.92,23.18,0
KXL     ,Australia,-33.917,150.9968,,3.86,0.0,0
N838GV  ,United States,64.8457,-148.0245,1714.5,55.28,14.55,0
UAL1830 ,United States,39.4299,-79.1578,7117.08,238.7,107.3,0
N61697  ,United States,25.6425,-80.4542,243.84,36.03,88.36,0
SWR24C  ,Switzerland,47.4274,7.1287,9745.98,206.56,277.59,0
AAL1997 ,United States,32.5718,-99.0293,7909.56,209.52,263.94,0
SWA4023 ,United States,28.1594,-85.0851,10363.2,225.04,297.5,0
LXJ511  ,United States,28.0786,-81.9026,13098.78,212.43,321.69,0
DAL2381 ,United States,32.1953,-89.6331,10363.2,200.69,249.75,0
N5246Q  ,United States,42.4088,-76.6225,1158.24,59.66,45.7,0
SKW3694 ,United States,37.8344,-118.7824,10058.4,195.15,200.2,0
GLO1491 ,Brazil,-23.9166,-46.4242,3070.86,124.44,302.51,0
SWR44X  ,Switzerland,47.545,8.527,1958.34,113.25,87.92,0
N35325  ,United States,33.3785,-112.3022,701.04,51.3,6.91,0
SWR5BW  ,Switzerland,47.5033,8.7742,2895.6,149.21,107.25,0
LXJ411  ,United States,33.5884,-87.2552,8252.46,269.15,69.17,0
N213PC  ,United States,32.4849,-81.3803,12496.8,213.63,2.07,0
SWR405  ,Switzerland,47.5457,7.8704,4572.0,144.48,109.34,0
UAL1976 ,United States,35.572,-83.8615,10363.2,186.49,236.13,0
N516NG  ,United States,33.7893,-118.236,784.86,37.84,191.77,0
SWR105W ,Switzerland,47.4033,8.5856,655.32,62.59,334.7,0
SWR1ST  ,Switzerland,46.979,4.3667,8610.6,244.04,118.73,0
N24KX   ,United States,34.2029,-119.1696,251.46,57.52,137.17,0
JST505  ,Australia,-36.0718,148.1922,11574.78,207.91,235.48,0
N7198Q  ,United States,27.9718,-82.7562,45.72,34.53,335.34,0
DAL2074 ,United States,37.6932,-120.3069,8229.6,194.52,274.4,0
N74CH   ,United States,32.7605,-116.177,4427.22,171.49,264.84,0
AAL1554 ,United States,34.3737,-93.7037,10972.8,195.84,222.87,0
AAL1917 ,United States,25.0458,-79.1486,7368.54,207.74,303.69,0
AAL1473 ,United States,40.8423,-73.824,480.06,76.67,211.56,0
N3517S  ,United States,39.9098,-105.118,1706.88,44.25,305.54,0
TAP574  ,Portugal,47.6981,0.5720000000000001,10370.82,193.31,59.27,0
JST295  ,Australia,-44.9021,168.689,3139.44,164.35,151.59,0
JST202  ,Australia,-34.0335,152.0623,4823.46,157.65,260.23,0
GJS4524 ,United States,44.1839,-85.8967,3368.04,165.15,45.0,0
ASA620  ,United States,43.0358,-111.183,10058.4,231.92,127.43,0
UAL2113 ,United States,47.3768,-101.2437,10668.0,254.07,113.76,0
N800P   ,United States,38.1543,-98.135,1950.72,72.29,294.38,0
VJA334  ,United States,39.265,-100.1824,12496.8,279.16,71.63,0
N963XP  ,United States,33.7778,-84.536,342.9,85.17,259.91,0
JST285  ,Australia,-37.9348,174.2746,7193.28,214.09,198.35,0
JJQ     ,Australia,-27.5662,152.1617,1112.52,45.83,267.43,0
N35339  ,United States,61.2156,-149.8419,182.88,4.63,180.0,0
N930LX  ,United States,27.7421,-84.6466,8534.4,143.12,284.79,0
UAL900  ,United States,40.3614,-118.8214,12192.0,221.42,241.71,0
N241TD  ,United States,33.6933,-118.2252,1165.86,38.58,286.26,0
N261AL  ,United States,27.1025,-81.9926,2766.06,93.63,180.31,0
C6592   ,United States,47.7849,-122.4778,167.64,27.65,135.0,0
IGO1057 ,India,13.7095,100.6519,2674.62,132.92,183.11,0
JST402  ,Australia,-31.5288,152.3486,10668.0,230.97,14.84,0
MXY704  ,United States,32.7247,-117.1533,152.4,67.91,285.83,0
VXP716  ,United States,32.2045,-80.9133,10668.0,236.55,25.51,0
LXJ545  ,United States,36.0453,-104.0593,11140.44,298.7,71.0,0
DAL1190 ,United States,33.6319,-84.4146,327.66,76.65,270.0,0
UAL337  ,United States,42.2288,-91.8944,10363.2,200.59,287.92,0
FDY444  ,United States,41.0887,-89.9229,2720.34,95.75,74.1,0
UAL1338 ,United States,41.9803,-87.9079,,5.92,8.44,0
TAP57W  ,Portugal,42.5351,-6.7957,11277.6,249.67,202.92,0
,United States,33.8044,-118.3425,83.82,24.78,311.63,0
TAP74MS ,Portugal,46.7646,-2.2421,11582.4,184.82,44.1,0
ENY4274 ,United States,32.7536,-97.0554,876.3,99.29,0.30000000000000004,0
TAP58Y  ,Portugal,45.1973,-6.4783,10972.8,194.5,34.66,0
N65453  ,United States,45.389,-93.189,1066.8,31.42,357.18,0
DAL1208 ,United States,42.3038,-73.3734,4191.0,198.77,97.58,0
TAP556  ,Portugal,42.7886,-0.5225000000000001,11590.02,200.76,55.86,0
TAP944  ,Portugal,41.1571,-5.8945,10370.82,179.64,56.45,0
N116FE  ,United States,27.3918,-79.2134,7117.08,223.04,43.79,0
TVF37ZJ ,France,44.3184,6.7576,11582.4,211.49,327.32,0
SWR28L  ,Switzerland,48.7038,3.3381,12192.0,211.76,327.2,0
EZY2860 ,United Kingdom,48.6176,13.0332,11597.64,230.99,297.02,0
EJU7651 ,Austria,40.1138,-5.2404,7581.9,200.44,49.89,0
SWA1973 ,United States,38.1873,-77.1272,6088.38,212.68,29.73,0
TVF11QG ,France,44.3902,-1.1466,11582.4,194.64,26.02,0
EZY36TN ,United Kingdom,48.6193,13.9848,11582.4,237.79,307.44,0
JST229  ,Australia,-42.5692,172.7236,5654.04,194.69,196.42,0
N312AR  ,United States,35.1548,-84.9997,998.22,78.43,262.08,0
DAL1734 ,United States,35.3648,-84.1413,10058.4,213.59,11.39,0
N881SM  ,United States,28.8752,-97.6044,11582.4,216.73,192.06,0
EDV5266 ,United States,34.37,-83.043,9166.86,259.28,53.47,0
TAP074  ,Portugal,-19.0073,-39.4126,10668.0,271.38,33.48,0
N905WA  ,United States,25.998,-80.3225,426.72,46.3,89.36,0
TVF91PR ,France,45.2659,5.9214,11590.02,210.17,326.08,0
